Gene ID	source_id	Organism	Product Description	Fold Change	Chosen Ref (floor)	Chosen Comp (floor)	3D7 2020 sense - 0hr 3D7 DAFT-seq	3D7 2020 sense - 8hr 3D7 DAFT-seq	3D7 2020 sense - 16hr 3D7 DAFT-seq	3D7 2020 sense - 40hr 3D7 DAFT-seq	3D7 2020 sense - 32hr 3D7 DAFT-seq	3D7 2020 sense - 48hr 3D7 DAFT-seq	3D7 2020 sense - 24hr 3D7 DAFT-seq
PF3D7_0303400	PF3D7_0303400.1	Plasmodium falciparum 3D7	palmitoyltransferase DHHC1	1	52.05	52.05	55.2	50.27	21.2	81.85	59.35	55.25	42.36
PF3D7_0303500	PF3D7_0303500.1	Plasmodium falciparum 3D7	spindle pole body protein, putative	1	119.67	119.67	113.46	71.87	70.14	142.64	189.43	102.83	150.59
PF3D7_0303600	PF3D7_0303600.1	Plasmodium falciparum 3D7	plasmoredoxin	1	22.87	22.87	11.48	16.16	38.75	18.15	23.14	14.55	39.39
PF3D7_0303700	PF3D7_0303700.1	Plasmodium falciparum 3D7	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex	1	127.28	127.28	99.36	79.09	105.43	150.52	151.14	124.68	186.29
PF3D7_0303800	PF3D7_0303800.1	Plasmodium falciparum 3D7	IBR domain protein, putative	1	68.67	68.67	65.18	58.75	58.91	57.69	75.3	56.72	110.64
PF3D7_0303900	PF3D7_0303900.1	Plasmodium falciparum 3D7	phosphatidylethanolamine-binding protein, putative	1	26.29	26.29	23.09	37.82	28.34	22.27	17.36	29.72	25.44
PF3D7_0304000	PF3D7_0304000.1	Plasmodium falciparum 3D7	inner membrane complex protein 1a, putative	1	6.25	6.25	6.19	7.36	6.39	5.88	4.74	8.44	5.04
PF3D7_0304100	PF3D7_0304100.1	Plasmodium falciparum 3D7	inner membrane complex protein 1e	1	142.46	142.46	210.95	114.31	55.84	272.64	69.28	242.16	32.96
PF3D7_0304200	PF3D7_0304200.1	Plasmodium falciparum 3D7	EH domain-containing protein	1	109.95	109.95	145.15	145.71	91.53	120.87	69.96	107.35	90.85
PF3D7_0304300	PF3D7_0304300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	37.27	37.27	42.97	31.33	21.79	39.15	52.01	34.39	41.71
PF3D7_0304400	PF3D7_0304400.1	Plasmodium falciparum 3D7	60S ribosomal protein L44	1	711.13	711.13	564.31	1028.61	1054	323.68	611.25	352.05	1061.75
PF3D7_0304500	PF3D7_0304500.1	Plasmodium falciparum 3D7	1-cys-glutaredoxin-like protein-1	1	53.85	53.85	25.92	37.83	58.9	44.3	61.41	50.18	99.75
PF3D7_0304600	PF3D7_0304600.1	Plasmodium falciparum 3D7	circumsporozoite (CS) protein	1	19.50	19.5	12.09	19.04	20.57	21.85	36.09	22.46	20.05
PF3D7_0304700	PF3D7_0304700.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	19.34	19.34	20.45	18.77	18.9	18.15	25.64	17.14	17.07
PF3D7_0304800	PF3D7_0304800.1	Plasmodium falciparum 3D7	conserved Plasmodium membrane protein, unknown function	1	54.12	54.12	53.55	29.69	27.92	63.77	97.59	40.97	66.14
PF3D7_0304900	PF3D7_0304900.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	34.70	34.7	36.48	44.28	44.6	18.73	25.54	24.73	48.93
PF3D7_0305000	PF3D7_0305000.1	Plasmodium falciparum 3D7	elongation factor Ts	1	74.99	74.99	54.39	68.3	79.55	69.4	87.14	58.02	108.35
PF3D7_0305100	PF3D7_0305100.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	113.14	113.14	79.55	64.67	93.32	115.37	181.24	94.25	165.72
PF3D7_0305200	PF3D7_0305200.1	Plasmodium falciparum 3D7	GRIP domain-containing protein, putative	1	306.85	306.85	387.47	281.49	268.47	397.86	274.59	310.21	236.63
PF3D7_0305300	PF3D7_0305300.1	Plasmodium falciparum 3D7	transporter, putative	1	322.90	322.9	589.24	448.46	268.37	222.24	170.61	361.07	210.13
PF3D7_0305400	PF3D7_0305400.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	59.22	59.22	49.92	40.34	39.48	76.96	74.92	77.74	56.39
PF3D7_0305500	PF3D7_0305500.1	Plasmodium falciparum 3D7	protein dopey homolog, putative	1	335.47	335.47	373.91	293.38	286.97	391.82	314.59	360.79	339.84
PF3D7_0305600	PF3D7_0305600.1	Plasmodium falciparum 3D7	DNA-(apurinic or apyrimidinic site) endonuclease	1	109.21	109.21	92.23	76.91	43.96	160.02	164.31	103.01	125.32
PF3D7_0305700	PF3D7_0305700.1	Plasmodium falciparum 3D7	ubiquitin-conjugating enzyme MMS2, putative	1	259.63	259.63	196.45	322.31	316.38	228.74	265.53	249.88	245.64
PF3D7_0305800	PF3D7_0305800.1	Plasmodium falciparum 3D7	P-loop containing nucleoside triphosphate hydrolase, putative	1	18.20	18.2	20.45	22.48	22	15.39	12.37	24.64	13.56
PF3D7_0305900	PF3D7_0305900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	27.22	27.22	52.79	18.38	17.13	30.08	33.14	26.84	17.49
PF3D7_0306000	PF3D7_0306000.1	Plasmodium falciparum 3D7	cytochrome b-c1 complex subunit 8, putative	1	59.20	59.2	49.59	41.53	31.26	96.59	65.31	84.75	51.13
PF3D7_0306100	PF3D7_0306100.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	105.49	105.49	102.17	129.24	117.35	80.71	109.92	77.86	124.74
PF3D7_0306200	PF3D7_0306200.1	Plasmodium falciparum 3D7	activator of Hsp90 ATPase	1	79.65	79.65	64.28	82.14	107.53	49.14	65.78	45.73	144.88
PF3D7_0306300	PF3D7_0306300.1	Plasmodium falciparum 3D7	glutaredoxin 1	1	213.17	213.17	204.64	188.62	243.77	220.21	184.24	205.98	260.35
PF3D7_0306400	PF3D7_0306400.1	Plasmodium falciparum 3D7	FAD-dependent glycerol-3-phosphate dehydrogenase, putative	1	68.12	68.12	51.63	41.46	34.36	110.15	103.59	66.39	70.83
PF3D7_0306500	PF3D7_0306500.1	Plasmodium falciparum 3D7	cytochrome c oxidase subunit 6c, putative	1	69.75	69.75	58.91	47.74	49.96	93.65	90.1	76.3	72.43
PF3D7_0306600	PF3D7_0306600.1	Plasmodium falciparum 3D7	ATP synthase-associated protein, putative	1	93.13	93.13	66.1	74.67	67.89	112.57	147.67	118.54	99.36
PF3D7_0306700	PF3D7_0306700.1	Plasmodium falciparum 3D7	ER membrane protein complex subunit 5, putative	1	71.04	71.04	75.86	92.24	87.72	48.21	66.67	51.98	91.45
PF3D7_0306800	PF3D7_0306800.1	Plasmodium falciparum 3D7	T-complex protein 1 subunit beta	1	315.91	315.91	139.1	384.75	583.81	150.98	238.14	181.38	535.7
PF3D7_0306900	PF3D7_0306900.1	Plasmodium falciparum 3D7	40S ribosomal protein S23, putative	1	357.85	357.85	200.96	458.16	642.33	197.91	347.68	260.76	405.81
PF3D7_0307100	PF3D7_0307100.1	Plasmodium falciparum 3D7	40S ribosomal protein S12, putative	1	398.47	398.47	174.51	543.65	743.22	230.18	135.71	237.75	738.4
PF3D7_0307200	PF3D7_0307200.1	Plasmodium falciparum 3D7	60S ribosomal protein L7, putative	1	1109.43	1109.43	767.83	1714.57	1733.6	481.78	866.12	644.72	1589.69
PF3D7_0307300	PF3D7_0307300.1	Plasmodium falciparum 3D7	end-binding protein 1	1	10.97	10.97	13.14	12.71	9.24	13.75	5.34	15.87	6.89
PF3D7_0307400	PF3D7_0307400.1	Plasmodium falciparum 3D7	ATP-dependent Clp protease proteolytic subunit	1	119.56	119.56	98.12	59.76	71.48	147.67	204.92	93.21	162.45
PF3D7_0307500	PF3D7_0307500.1	Plasmodium falciparum 3D7	spindle and kinetochore-associated protein 2, putative	1	72.94	72.94	60.09	38.64	41.88	96.88	118.94	60.72	97.28
PF3D7_0307600	PF3D7_0307600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	87.92	87.92	65.33	56.3	63.1	104.58	134.36	82.8	110.95
PF3D7_0307700	PF3D7_0307700.1	Plasmodium falciparum 3D7	apicomplexan kinetochore protein 10, putative	1	253.27	253.27	184.85	124.64	149.47	409.8	401.11	270.88	266.37
PF3D7_0307800	PF3D7_0307800.1	Plasmodium falciparum 3D7	PDZ domain-containing protein, putative	1	88.74	88.74	69.31	115.31	110.72	81.73	106.49	58.36	125.73
PF3D7_0307900	PF3D7_0307900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	26.25	26.25	23.63	22.24	25.86	22.58	28.8	26.07	37.09
PF3D7_0308000	PF3D7_0308000.1	Plasmodium falciparum 3D7	DNA polymerase delta small subunit, putative	1	63.47	63.47	46.98	35.14	49.63	62.31	86.93	48.61	116.36
PF3D7_0308100	PF3D7_0308100.1	Plasmodium falciparum 3D7	zinc finger protein, putative	1	136.07	136.07	153.27	44.8	16.19	329.61	200.97	176.76	34.17
PF3D7_0308200	PF3D7_0308200.1	Plasmodium falciparum 3D7	T-complex protein 1 subunit eta	1	335.29	335.29	202.56	347.1	485.69	234.83	296.18	328.36	467.62
PF3D7_0308300	PF3D7_0308300.1	Plasmodium falciparum 3D7	PhIL1-interacting candidate PIC4	1	146.12	146.12	310.26	70	20.82	269.43	55.54	309.54	11.92
PF3D7_0308500	PF3D7_0308500.1	Plasmodium falciparum 3D7	activator of Hsp90 ATPase, putative	1	107.44	107.44	86.4	94.94	154.36	70.88	98.41	96.9	151.67
PF3D7_0308600	PF3D7_0308600.1	Plasmodium falciparum 3D7	pre-mRNA-processing factor 19, putative	1	175.38	175.38	140.51	239.85	237.33	103.78	139.88	116.65	251.1
PF3D7_0308700	PF3D7_0308700.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	87.84	87.84	128.86	67.99	37.3	187.04	57.71	153.49	23.29
PF3D7_0308800	PF3D7_0308800.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	100.19	100.19	145.28	75.4	47.36	203.55	91.83	161.51	72.83
PF3D7_0308900	PF3D7_0308900.1	Plasmodium falciparum 3D7	splicing factor 3B subunit 1, putative	1	166.50	166.5	114.39	250.67	227.36	99.8	161.3	111.2	202.28
PF3D7_0309000	PF3D7_0309000.1	Plasmodium falciparum 3D7	dual specificity protein phosphatase	1	109.59	109.59	88.22	135.11	128.87	76.83	100.27	88.99	150.21
PF3D7_0309100	PF3D7_0309100.1	Plasmodium falciparum 3D7	OMD protein, putative	1	28.09	28.09	23.53	23.33	28.73	43.8	28.85	35.91	27.23
PF3D7_0309200	PF3D7_0309200.1	Plasmodium falciparum 3D7	aurora-related kinase ARK2, putative	1	221.60	221.6	213.27	164.46	192.75	260.49	297.09	220.6	210.41
PF3D7_0309300	PF3D7_0309300.1	Plasmodium falciparum 3D7	N2227-like protein, putative	1	111.75	111.75	91.05	197.87	165.96	86.51	75.92	82.87	127.97
PF3D7_0309500	PF3D7_0309500.1	Plasmodium falciparum 3D7	asparagine synthetase [glutamine-hydrolyzing], putative	1	318.13	318.13	275.39	443	353.62	214.58	310.83	245.08	388.68
PF3D7_0309600	PF3D7_0309600.1	Plasmodium falciparum 3D7	60S acidic ribosomal protein P2	1	593.74	593.74	354.16	642.6	994.25	364.45	684.94	459.3	672.13
PF3D7_0309700	PF3D7_0309700.1	Plasmodium falciparum 3D7	SECIS-binding protein 2, putative	1	121.48	121.48	175.74	135.77	126.25	97.22	101.24	127.13	90.55
PF3D7_0309800	PF3D7_0309800.1	Plasmodium falciparum 3D7	YTH domain-containing protein 2	1	74.28	74.28	71.8	125.14	99.26	53.57	52.22	72.92	69.95
PF3D7_0309900	PF3D7_0309900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	31.83	31.83	27.01	20.04	18.64	37.7	51.81	25.08	43.09
PF3D7_0310000	PF3D7_0310000.1	Plasmodium falciparum 3D7	50S ribosomal protein L9, apicoplast, putative	1	47.24	47.24	40.5	30.61	29.51	57.37	71.46	40.85	60.8
PF3D7_0310100	PF3D7_0310100.1	Plasmodium falciparum 3D7	calcium-dependent protein kinase 3	1	4.87	4.87	2.98	3.44	4.19	4.71	8.03	4.75	6.01
PF3D7_0310200	PF3D7_0310200.1	Plasmodium falciparum 3D7	phd finger protein, putative	1	464.70	464.7	680.79	497.06	557.79	346.72	374.05	544.85	427.04
PF3D7_0310300	PF3D7_0310300.1	Plasmodium falciparum 3D7	phosphoglycerate mutase, putative	1	160.71	160.71	142.32	233.54	225.46	85.81	128.38	119.78	193.8
PF3D7_0310400	PF3D7_0310400.1	Plasmodium falciparum 3D7	parasite-infected erythrocyte surface protein	1	248.60	248.6	160.02	77.06	48.9	440.52	596.97	214.38	214.55
PF3D7_0310500	PF3D7_0310500.1	Plasmodium falciparum 3D7	ATP-dependent RNA helicase DHX57, putative	1	144.86	144.86	90.86	161.08	168.47	111.98	164.57	99.59	219.83
PF3D7_0310600	PF3D7_0310600.1	Plasmodium falciparum 3D7	eukaryotic translation initiation factor 3 subunit K, putative	1	112.97	112.97	137.35	150.18	126.63	64.59	83.92	72.13	157.98
PF3D7_0310700	PF3D7_0310700.1	Plasmodium falciparum 3D7	trafficking protein particle complex subunit 4, putative	1	180.06	180.06	229.6	256.56	145.59	135.96	141.69	126.74	288.73
PF3D7_0310800	PF3D7_0310800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	227.48	227.48	217.03	318.02	215.38	187.65	169.03	220.48	385.82
PF3D7_0310900	PF3D7_0310900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	62.09	62.09	54.55	47.57	26.77	81.04	82.46	54.4	89.2
PF3D7_0311000	PF3D7_0311000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	3.49 (3.58)	3.49 (3.58)	3.84	9.06	3.82	3.03	0.35	2.96	1.34
PF3D7_0311100	PF3D7_0311100.1	Plasmodium falciparum 3D7	pre-mRNA splicing factor, putative	1	148.77	148.77	134.55	157.06	185.04	116.08	169.9	120.1	161.79
PF3D7_0311200	PF3D7_0311200.1	Plasmodium falciparum 3D7	valine--tRNA ligase, putative	1	69.91	69.91	55.97	66.77	80.47	54.19	81.27	48.15	104.12
PF3D7_0311300	PF3D7_0311300.1	Plasmodium falciparum 3D7	phosphatidylinositol 3- and 4-kinase, putative	1	183.87	183.87	160.26	112.06	89.92	292.89	270.66	223.57	141.74
PF3D7_0311400	PF3D7_0311400.1	Plasmodium falciparum 3D7	kinase-related protein PKRP, putative	1	25.18	25.18	29.27	28.24	27.09	25.86	17.58	34.57	14.2
PF3D7_0311500	PF3D7_0311500.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	68.25	68.25	117.92	132.63	53.71	35.21	20.78	50.03	68.03
PF3D7_0311600	PF3D7_0311600.1	Plasmodium falciparum 3D7	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1, putative	1	47.21	47.21	47.11	41.11	36.55	39.22	44.36	49.29	78.41
PF3D7_0311700	PF3D7_0311700.1	Plasmodium falciparum 3D7	plasmepsin VI	1	66.96	66.96	48.29	90.94	97.99	50.65	42.89	88.93	62.73
PF3D7_0311800	PF3D7_0311800.1	Plasmodium falciparum 3D7	ATP synthase F0 subunit d-like protein, putative	1	84.63	84.63	66.91	65.81	58.19	113.99	97.82	83.75	108.18
PF3D7_0311900	PF3D7_0311900.1	Plasmodium falciparum 3D7	heptatricopeptide repeat-containing protein, putative	1	13.81	13.81	10.29	11.96	8.21	12.32	16.32	7.97	29.82
PF3D7_0312000	PF3D7_0312000.1	Plasmodium falciparum 3D7	HTH domain-containing protein, putative	1	29.63	29.63	10.97	18.9	23.49	32.53	55.78	29.53	39.51
PF3D7_0312100	PF3D7_0312100.1	Plasmodium falciparum 3D7	E3 ubiquitin-protein ligase	1	66.79	66.79	55.73	46.63	37.55	86.76	109.28	62.2	71.87
PF3D7_0312200	PF3D7_0312200.1	Plasmodium falciparum 3D7	tetratricopeptide repeat protein, putative	1	82.31	82.31	91.78	80.07	66.49	94.28	80.09	91.89	73.2
PF3D7_0312300	PF3D7_0312300.1	Plasmodium falciparum 3D7	26S proteasome regulatory subunit RPN12, putative	1	87.36	87.36	70.34	91.05	100.62	96.58	74.81	72.26	106.44
PF3D7_0312400	PF3D7_0312400.1	Plasmodium falciparum 3D7	glycogen synthase kinase-3 beta	1	294.45	294.45	280.17	242.51	249.55	345.12	336.41	323.4	304.45
PF3D7_0312500	PF3D7_0312500.1	Plasmodium falciparum 3D7	multidrug-resistant modulator MFR3	1	31.58	31.58	17.59	33.12	38.8	22.2	32.65	18.96	58.3
PF3D7_0312800	PF3D7_0312800.1	Plasmodium falciparum 3D7	60S ribosomal protein L26, putative	1	552.57	552.57	308.19	692.46	906.28	361.49	478.59	486.26	681.86
PF3D7_0312900	PF3D7_0312900.1	Plasmodium falciparum 3D7	hypothetical protein	1	20.81	20.81	22.05	21.48	31.94	11.87	17.89	22.78	20.33
PF3D7_0313000	PF3D7_0313000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	120.74	120.74	112.69	162.04	130.53	94.5	117.77	105.42	124.72
PF3D7_0313100	PF3D7_0313100.1	Plasmodium falciparum 3D7	ubiquitin-protein ligase, putative	1	189.16	189.16	90.53	144.41	268.1	157.54	256.41	127.82	282.55
PF3D7_0313200	PF3D7_0313200.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	69.07	69.07	77.48	94.51	79.58	77.78	90.78	68.57	137.37
PF3D7_0313300	PF3D7_0313300.1	Plasmodium falciparum 3D7	YGGT family protein, putative	1	57.96	57.96	50.13	104.57	108.19	81.16	54.51	61.13	169.93
PF3D7_0313400	PF3D7_0313400.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	101.61	101.61	126.53	131.23	136.31	52.42	96.59	74.88	97.91
PF3D7_0313500	PF3D7_0313500.1	Plasmodium falciparum 3D7	Ras-like G protein	1	65.18	65.18	44.17	93.84	95.21	35.4	58.07	43.67	86.77
PF3D7_0313600	PF3D7_0313600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	132.33	132.33	110.39	81.16	99.61	150.56	214.22	135.46	159.1
PF3D7_0313700	PF3D7_0313700.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	66.12	66.12	37.8	36.05	40.62	79.64	123.24	50.33	125.13
PF3D7_0313800	PF3D7_0313800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	88.71	88.71	58.66	48.39	57.49	104.2	139.65	72.6	142.42
PF3D7_0313900	PF3D7_0313900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	17.96	17.96	21.88	22.18	18.78	14.22	12.16	22.81	14.78
PF3D7_0314000	PF3D7_0314000.1	Plasmodium falciparum 3D7	HSP20-like chaperone, putative	1	161.22	161.22	91.99	95.57	104.9	240.92	283.86	171.18	146.18
PF3D7_0314100	PF3D7_0314100.1	Plasmodium falciparum 3D7	vesicle transport v-SNARE protein, putative	1	165.04	165.04	227.08	159.53	149.3	161.78	83.46	289.05	99.87
PF3D7_0314100	PF3D7_0314100.2	Plasmodium falciparum 3D7	vesicle transport v-SNARE protein, putative	1	165.04	165.04	227.08	159.53	149.3	161.78	83.46	289.05	99.87
PF3D7_0314200	PF3D7_0314200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	71.47	71.47	50.33	34.62	36.32	73.53	137.54	51.74	118.26
PF3D7_0314300	PF3D7_0314300.1	Plasmodium falciparum 3D7	DER1-like protein	1	55.90	55.9	50.91	26.09	28.51	59.9	104.99	45.94	80.62
PF3D7_0314400	PF3D7_0314400.1	Plasmodium falciparum 3D7	serine/threonine protein phosphatase 6, putative	1	57.77	57.77	38.79	70.18	80.47	37.81	55.75	38.24	85.02
PF3D7_0314500	PF3D7_0314500.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	106.44	106.44	123.55	143.84	133.94	64.64	97.7	77.12	113.71
PF3D7_0314600	PF3D7_0314600.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	110.17	110.17	126.92	107.68	128.08	92.69	111.47	91.4	124.13
PF3D7_0314700	PF3D7_0314700.1	Plasmodium falciparum 3D7	RING finger protein RNF1	1	150.45	150.45	121.24	158.58	175.5	130.81	128.64	165.98	177.33
PF3D7_0314800	PF3D7_0314800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	35.54	35.54	38.01	11.78	4.26	86.25	58.77	38.61	12.28
PF3D7_0314900	PF3D7_0314900.1	Plasmodium falciparum 3D7	conserved Plasmodium membrane protein, unknown function	1	49.39	49.39	55.27	31.34	17.25	86.26	72.83	55.82	37.17
PF3D7_0315000	PF3D7_0315000.1	Plasmodium falciparum 3D7	zinc finger protein, putative	1	28.73	28.73	31.61	18.09	18.83	30.1	39.94	30.43	39.44
PF3D7_0315100	PF3D7_0315100.1	Plasmodium falciparum 3D7	eukaryotic translation initiation factor 4E	1	81.67	81.67	83.98	120.09	86.2	54.35	55.76	73.11	100.26
PF3D7_0315200	PF3D7_0315200.1	Plasmodium falciparum 3D7	circumsporozoite- and TRAP-related protein	1	13.08	13.08	12.09	25.54	14.37	9.36	3.97	19.21	7.31
PF3D7_0315300	PF3D7_0315300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	33.42	33.42	34.35	24.24	26.09	30.14	38.34	28.95	52.35
PF3D7_0315400	PF3D7_0315400.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	104.44	104.44	83.47	44.47	65.39	111.98	190.79	74.46	165.06
PF3D7_0315500	PF3D7_0315500.1	Plasmodium falciparum 3D7	ribosomal protein L47, mitochondrial, putative	1	105.57	105.57	97.57	128.15	72.77	80.26	96.06	91.14	175.41
PF3D7_0315600	PF3D7_0315600.1	Plasmodium falciparum 3D7	male development protein MD3	1	147.08	147.08	179.48	140.25	127.22	139.75	133.51	200.75	112.63
PF3D7_0315700	PF3D7_0315700.1	Plasmodium falciparum 3D7	STONES protein, putative	1	13.16	13.16	18.65	16.08	12.83	10.15	9.58	12.49	12.96
PF3D7_0315800	PF3D7_0315800.1	Plasmodium falciparum 3D7	zinc finger protein, putative	1	87.52	87.52	98.28	131.43	102.01	55.43	56.03	78.35	92.13
PF3D7_0315900	PF3D7_0315900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	5.09	5.09	10.65	13.15	1.54	1.4	1.03	4.41	3.48
PF3D7_0316000	PF3D7_0316000.1	Plasmodium falciparum 3D7	microneme associated antigen	1	69.90	69.9	146.15	52.98	19.46	93.31	20.96	136.39	21.54
PF3D7_0316100	PF3D7_0316100.1	Plasmodium falciparum 3D7	ribosomal protein L27, mitochondrial, putative	1	80.01	80.01	151.59	51.42	37.04	81.66	47.87	142.51	48.39
PF3D7_0316200	PF3D7_0316200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	120.40	120.4	109.23	65.84	64.53	155.17	207.63	112.01	131.34
PF3D7_0316300	PF3D7_0316300.1	Plasmodium falciparum 3D7	inorganic pyrophosphatase, putative, inorganic pyrophosphatase	1	361.37	361.37	266.45	192.72	161.87	527.27	611.53	338.22	439.99
PF3D7_0316300	PF3D7_0316300.2	Plasmodium falciparum 3D7	inorganic pyrophosphatase, putative, inorganic pyrophosphatase	1	361.37	361.37	266.45	192.72	161.87	527.27	611.53	338.22	439.99
PF3D7_0316400	PF3D7_0316400.1	Plasmodium falciparum 3D7	CS domain-containing protein, putative	1	120.45	120.45	101.17	70.44	81.12	123.63	190.49	107.49	171.48
PF3D7_0316500	PF3D7_0316500.1	Plasmodium falciparum 3D7	kinetochore protein NUF2, putative	1	110.46	110.46	97.5	64.7	75.1	142.47	158.19	115.8	121.28
PF3D7_0316600	PF3D7_0316600.1	Plasmodium falciparum 3D7	formate-nitrite transporter	1	406.88	406.88	230.11	511.15	711.6	256.7	361.85	215.4	566.99
PF3D7_0316700	PF3D7_0316700.1	Plasmodium falciparum 3D7	protein YOP1, putative	1	94.46	94.46	60.77	66.81	68.07	129.24	157.42	90.51	90.54
PF3D7_0316800	PF3D7_0316800.1	Plasmodium falciparum 3D7	40S ribosomal protein S15A, putative	1	563.65	563.65	292.46	684.87	935.22	390.39	480.01	466.36	707.46
PF3D7_0316900	PF3D7_0316900.1	Plasmodium falciparum 3D7	E3 ubiquitin-protein ligase, putative	1	186.40	186.4	307.39	233.73	145.33	151.36	117.35	188.31	166.12
PF3D7_0317000	PF3D7_0317000.1	Plasmodium falciparum 3D7	proteasome subunit alpha type-3, putative	1	288.73	288.73	177.29	259.51	328.13	276.76	334.49	226.61	420.54
PF3D7_0317100	PF3D7_0317100.1	Plasmodium falciparum 3D7	6-cysteine protein B9	1	21.61	21.61	13.74	23.93	26.25	21.56	19.17	19.16	27.61
PF3D7_0317200	PF3D7_0317200.1	Plasmodium falciparum 3D7	cdc2-related protein kinase 4	1	343.97	343.97	289.73	160.79	115.91	603.34	561.47	368.48	323
PF3D7_0317300	PF3D7_0317300.1	Plasmodium falciparum 3D7	nucleoporin NUP335, putative	1	498.20	498.2	529.97	574.63	498.43	513.51	509.92	462.54	435.58
PF3D7_0317400	PF3D7_0317400.1	Plasmodium falciparum 3D7	DNA replication complex GINS protein, putative	1	45.34	45.34	25.36	22.51	26.48	66.35	71.05	40.04	67.19
PF3D7_0317500	PF3D7_0317500.1	Plasmodium falciparum 3D7	kinesin-5	1	132.33	132.33	109.41	112.46	108.09	159.85	179.19	118.12	151.46
PF3D7_0317600	PF3D7_0317600.1	Plasmodium falciparum 3D7	40S ribosomal protein S11, putative	1	704.14	704.14	307.56	970.25	1292.16	391.85	529.31	491.94	967.07
PF3D7_0317700	PF3D7_0317700.1	Plasmodium falciparum 3D7	CPSF (cleavage and polyadenylation specific factor), subunit A, putative	1	256.00	256	273.76	336.1	280.69	197.56	248.85	218.48	276.84
PF3D7_0317800	PF3D7_0317800.1	Plasmodium falciparum 3D7	26S proteasome non-ATPase regulatory subunit 9, putative	1	129.69	129.69	73.85	150.47	162.13	98.55	134.38	79.37	210.28
PF3D7_0317900	PF3D7_0317900.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	26.73	26.73	18.72	36.57	23.86	18.36	25.57	17.92	47.15
PF3D7_0318000	PF3D7_0318000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	7.31	7.31	6.8	10.29	6.7	6.91	6.37	7.16	9.85
PF3D7_0318100	PF3D7_0318100.1	Plasmodium falciparum 3D7	stomatin-like protein, putative	1	57.09	57.09	23.73	38.79	80.35	42.33	64.04	33.69	117.63
PF3D7_0318200	PF3D7_0318200.1	Plasmodium falciparum 3D7	DNA-directed RNA polymerase II subunit RPB1	1	317.71	317.71	231.47	441.22	406.4	228.29	317.16	230.76	422.11
PF3D7_0318300	PF3D7_0318300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	149.57	149.57	154.18	202.28	171.31	148.71	176.75	146.42	156.92
PF3D7_0318400	PF3D7_0318400.1	Plasmodium falciparum 3D7	coiled-coil domain-containing protein CCDC148/CCDC112, putative	1	12.05	12.05	14.67	13.47	11.72	11.71	9.09	15.39	9.56
PF3D7_0318500	PF3D7_0318500.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	70.68	70.68	112.49	40.39	21.87	141.16	47.47	116.49	16.22
PF3D7_0318600	PF3D7_0318600.1	Plasmodium falciparum 3D7	cleavage and polyadenylation specificity factor, putative	1	106.32	106.32	151.01	161.02	125.98	59.12	52.72	113.54	81.9
