A0A140KXU9	PF3D7_API00100
C0H537	PF3D7_0914300
C0H539	PF3D7_0916400
C0H540	PF3D7_0916500
C0H541	PF3D7_0916800
C0H542	PF3D7_0918100
C0H543	PF3D7_0918200
C0H544	PF3D7_0918400
C0H545	PF3D7_0920000
C0H546	PF3D7_0920100
C0H547	PF3D7_0921100
C0H548	PF3D7_0921200
C0H549	PF3D7_0921800
C0H550	PF3D7_0922300
C0H551	PF3D7_0922600
C0H553	PF3D7_0923200
C0H554	PF3D7_0923700
C0H556	PF3D7_0924300
C0H557	PF3D7_0924500
C0H558	PF3D7_0924800
C0H560	PF3D7_0925000
C0H561	PF3D7_0925500
C0H562	PF3D7_0926200
C0H563	PF3D7_0926300
C0H564	PF3D7_0926400
C0H565	PF3D7_0926600
C0H566	PF3D7_0927200
C0H567	PF3D7_0927400
C0H568	PF3D7_0927500
C0H569	PF3D7_0928300
C0H570	PF3D7_0929200
C0H571	PF3D7_0929400
C0H572	PF3D7_0929500
C0H573	PF3D7_0929800
C0H574	PF3D7_0929900
C0H575	PF3D7_0930100
C0H576	PF3D7_0930200
C0H578	PF3D7_0930900
C0H579	PF3D7_0931400
C0H580	PF3D7_0931500
C0H581	PF3D7_0931700
C0H582	PF3D7_0931900
C0H583	PF3D7_0932000
C0H584	PF3D7_0932100
C0H585	PF3D7_0933100
C0H586	PF3D7_0933200
C0H587	PF3D7_0933300
C0H588	PF3D7_0933400
C0H589	PF3D7_0933700
C0H590	PF3D7_0935100
C0H591	PF3D7_0935500
C0H593	PF3D7_0937000
C0H595	PF3D7_1302300
C0H596	PF3D7_1302400
C0H597	PF3D7_1303900
C0H598	PF3D7_1304000
C0H599	PF3D7_1304200
C0H5A1	PF3D7_1306100
C0H5A2	PF3D7_1306300
C0H5A4	PF3D7_1306900
C0H5A5	PF3D7_1308000
C0H5A7	PF3D7_1308600
C0H5A8	PF3D7_1308800
C0H5A9	PF3D7_1310200
C0H5B0	PF3D7_1312500
C0H5B1	PF3D7_1312900
C0H5B2	PF3D7_1313300
C0H5B4	PF3D7_1313900
C0H5B5	PF3D7_1315200
C0H5B7	PF3D7_1315600
C0H5B8	PF3D7_1316000
C0H5B9	PF3D7_1316300
C0H5C0	PF3D7_1316900
C0H5C1	PF3D7_1317600
C0H5C2	PF3D7_1317800
C0H5C3	PF3D7_1318500
C0H5C4	PF3D7_1318600
C0H5C6	PF3D7_1320500
C0H5C7	PF3D7_1320900
C0H5D1	PF3D7_1322700
C0H5D2	PF3D7_1322900
C0H5D3	PF3D7_1324700
C0H5D4	PF3D7_1325300
C0H5D5	PF3D7_1325700
C0H5E0	PF3D7_1326700
C0H5E1	PF3D7_1326800
C0H5E2	PF3D7_1326900
C0H5E6	PF3D7_1328400
C0H5E7	PF3D7_1328600
C0H5E9	PF3D7_1330300
C0H5F0	PF3D7_1331100
C0H5F1	PF3D7_1331600
C0H5F3	PF3D7_1334600
C0H5F5	PF3D7_1335500
C0H5F6	PF3D7_1336100
C0H5F8	PF3D7_1338000
C0H5G0	PF3D7_1338800
C0H5G1	PF3D7_1340200
C0H5G2	PF3D7_1340700
C0H5G3	PF3D7_1341300
C0H5G7	PF3D7_1343900
C0H5G8	PF3D7_1344000
C0H5G9	PF3D7_1344100
C0H5H0	PF3D7_1344200
C0H5H1	PF3D7_1344300
C0H5H2	PF3D7_1345000
C0H5H3	PF3D7_1345300
C0H5H7	PF3D7_1347600
C0H5H8	PF3D7_1349000
C0H5H9	PF3D7_1350400
C0H5I3	PF3D7_1352600
C0H5I4	PF3D7_1354600
C0H5I5	PF3D7_1355800
C0H5I6	PF3D7_1357600
C0H5I7	PF3D7_1357800
C0H5I8	PF3D7_1358200
C0H5I9	PF3D7_1358900
C0H5J1	PF3D7_1359500
C0H5J5	PF3D7_1360900
C0H5J6	PF3D7_1361100
C0H5J8	PF3D7_1361500
C0H5K2	PF3D7_1362700
C0H5K3	PF3D7_1362800
C0H5K6	PF3D7_1365200
C0H5K7	PF3D7_1366100
C0H5K9	PF3D7_1366800
C0H5L0	PF3D7_1367200
C0H5L1	PF3D7_1367900
C0H5L2	PF3D7_1368000
C0H5L3	PF3D7_1368300
C0H5L4	PF3D7_1369000
C0H5L8	PF3D7_1369700
C0H5L9	PF3D7_1370300
C0H5M5	PF3D7_1371500
C0H5M6	PF3D7_1371900
C0H5M7	PF3D7_1372000
C0H5M8	PF3D7_1372100
C0H5M9	PF3D7_1372200
C0H5N0	PF3D7_1372400
C0H5N2	PF3D7_1372600
C0H5N3	PF3D7_1372700
C0H5N4	PF3D7_1372800
C0H5N5	PF3D7_1373000
C0H5N6	PF3D7_1373100
C0H5N8	PF3D7_1373300
C0H5N9	PF3D7_1373400
C6KSK9	PF3D7_0600300
C6KSL0	PF3D7_0600400
C6KSL1	PF3D7_0600500
C6KSL2	PF3D7_0600700
C6KSL4	PF3D7_0601100
C6KSL5	PF3D7_0601200
C6KSL7	PF3D7_0601500
C6KSL8	PF3D7_0601600
C6KSL9	PF3D7_0601900
C6KSM0	PF3D7_0602000
C6KSM1	PF3D7_0602100
C6KSM2	PF3D7_0602200
C6KSM3	PF3D7_0602300
C6KSM4	PF3D7_0602400
C6KSM5	PF3D7_0602500
C6KSM6	PF3D7_0602600
C6KSM7	PF3D7_0602700
C6KSM8	PF3D7_0602800
C6KSM9	PF3D7_0602900
C6KSN0	PF3D7_0603000
C6KSN1	PF3D7_0603100
C6KSN2	PF3D7_0603200
C6KSN3	PF3D7_0603500
C6KSN4	PF3D7_0603600
C6KSN5	PF3D7_0603700
C6KSN6	PF3D7_0603800
C6KSN7	PF3D7_0603900
C6KSN8	PF3D7_0604000
C6KSN9	PF3D7_0604100
C6KSP0	PF3D7_0604200
C6KSP1	PF3D7_0604300
C6KSP2	PF3D7_0604400
C6KSP4	PF3D7_0604600
C6KSP5	PF3D7_0604700
C6KSP6	PF3D7_0604800
C6KSP7	PF3D7_0604900
C6KSP8	PF3D7_0605000
C6KSP9	PF3D7_0605100
C6KSQ0	PF3D7_0605200
C6KSQ1	PF3D7_0605300
C6KSQ2	PF3D7_0605400
C6KSQ3	PF3D7_0605500
C6KSQ4	PF3D7_0605600
C6KSQ5	PF3D7_0605700
C6KSQ6	PF3D7_0605800
C6KSQ7	PF3D7_0605900
C6KSQ8	PF3D7_0606000
C6KSQ9	PF3D7_0606100
C6KSR0	PF3D7_0606200
C6KSR1	PF3D7_0606300
C6KSR2	PF3D7_0606400
C6KSR3	PF3D7_0606500
C6KSR4	PF3D7_0606600
C6KSR5	PF3D7_0606700
C6KSR6	PF3D7_0606800
C6KSR7	PF3D7_0606900
C6KSR8	PF3D7_0607000
C6KSR9	PF3D7_0607100
C6KSS0	PF3D7_0607200
C6KSS1	PF3D7_0607300
C6KSS2	PF3D7_0607400
C6KSS3	PF3D7_0607500
C6KSS4	PF3D7_0607600
C6KSS6	PF3D7_0607800
C6KSS7	PF3D7_0607900
C6KSS8	PF3D7_0608000
C6KSS9	PF3D7_0608100
C6KST0	PF3D7_0608200
C6KST1	PF3D7_0608300
C6KST2	PF3D7_0608400
C6KST3	PF3D7_0608500
C6KST4	PF3D7_0608600
C6KST5	PF3D7_0608700
C6KST6	PF3D7_0608900
C6KST8	PF3D7_0609100
C6KST9	PF3D7_0609200
C6KSU0	PF3D7_0609300
C6KSU1	PF3D7_0609400
C6KSU2	PF3D7_0609500
C6KSU3	PF3D7_0609600
C6KSU4	PF3D7_0609700
C6KSU5	PF3D7_0609800
C6KSU6	PF3D7_0609900
C6KSU7	PF3D7_0610000
C6KSU8	PF3D7_0610100
C6KSU9	PF3D7_0610200
C6KSV0	PF3D7_0610400
C6KSV1	PF3D7_0610500
C6KSV2	PF3D7_0610700
C6KSV3	PF3D7_0610800
C6KSV4	PF3D7_0610900
C6KSV5	PF3D7_0611000
C6KSV6	PF3D7_0611100
C6KSV7	PF3D7_0611200
C6KSV8	PF3D7_0611300
C6KSV9	PF3D7_0611400
C6KSW0	PF3D7_0611500
C6KSW1	PF3D7_0611600
C6KSW3	PF3D7_0611900
C6KSW4	PF3D7_0612000
C6KSW5	PF3D7_0612100
C6KSW6	PF3D7_0612200
C6KSW7	PF3D7_0612300
C6KSW8	PF3D7_0612500
C6KSW9	PF3D7_0612600
C6KSX0	PF3D7_0612700
C6KSX1	PF3D7_0612800
C6KSX2	PF3D7_0612900
C6KSX3	PF3D7_0613000
C6KSX4	PF3D7_0613100
C6KSX5	PF3D7_0613200
C6KSX6	PF3D7_0613300
C6KSX7	PF3D7_0613500
C6KSX8	PF3D7_0613600
C6KSX9	PF3D7_0613700
C6KSY1	PF3D7_0613900
C6KSY2	PF3D7_0614000
C6KSY3	PF3D7_0614200
C6KSY4	PF3D7_0614300
C6KSY5	PF3D7_0614400
C6KSY6	PF3D7_0614500
C6KSY7	PF3D7_0614600
C6KSY8	PF3D7_0614700
C6KSY9	PF3D7_0614800
C6KSZ0	PF3D7_0614900
C6KSZ1	PF3D7_0615000
C6KSZ2	PF3D7_0615100
C6KSZ3	PF3D7_0615200
C6KSZ4	PF3D7_0615300
C6KSZ6	PF3D7_0615500
C6KSZ7	PF3D7_0615600
C6KSZ8	PF3D7_0615700
C6KSZ9	PF3D7_0615800
C6KT01	PF3D7_0616000
C6KT02	PF3D7_0616100
C6KT03	PF3D7_0616200
C6KT04	PF3D7_0616300
C6KT05	PF3D7_0616400
C6KT06	PF3D7_0616500
C6KT07	PF3D7_0616600
C6KT08	PF3D7_0616700
C6KT09	PF3D7_0616800
C6KT10	PF3D7_0616900
C6KT11	PF3D7_0617000
C6KT12	PF3D7_0617100
C6KT13	PF3D7_0617200
C6KT14	PF3D7_0617300
C6KT15	PF3D7_0617400
C6KT16	PF3D7_0617600
C6KT17	PF3D7_0617700
C6KT18	PF3D7_0617800
C6KT19	PF3D7_0617900
C6KT20	PF3D7_0618000
C6KT21	PF3D7_0618100
C6KT22	PF3D7_0618200
C6KT23	PF3D7_0618300
C6KT24	PF3D7_0618400
C6KT25	PF3D7_0618500
C6KT26	PF3D7_0618600
C6KT27	PF3D7_0618700
C6KT28	PF3D7_0618800
C6KT29	PF3D7_0618900
C6KT30	PF3D7_0619000
C6KT31	PF3D7_0619100
C6KT32	PF3D7_0619200
C6KT34	PF3D7_0619400
C6KT35	PF3D7_0619500
C6KT36	PF3D7_0619600
C6KT37	PF3D7_0619700
C6KT38	PF3D7_0619800
C6KT39	PF3D7_0619900
C6KT40	PF3D7_0620000
C6KT41	PF3D7_0620100
C6KT42	PF3D7_0620200
C6KT43	PF3D7_0620300
C6KT44	PF3D7_0620400
C6KT45	PF3D7_0620500
C6KT46	PF3D7_0620600
C6KT47	PF3D7_0620700
C6KT48	PF3D7_0621000
C6KT49	PF3D7_0621100
C6KT50	PF3D7_0621200
C6KT51	PF3D7_0621300
C6KT52	PF3D7_0621400
C6KT53	PF3D7_0621500
C6KT54	PF3D7_0621700
C6KT55	PF3D7_0621800
C6KT56	PF3D7_0621900
C6KT57	PF3D7_0622000
C6KT58	PF3D7_0622100
C6KT59	PF3D7_0622200
C6KT60	PF3D7_0622300
C6KT61	PF3D7_0622400
C6KT62	PF3D7_0622500
C6KT63	PF3D7_0622700
C6KT64	PF3D7_0622800
C6KT65	PF3D7_0622900
C6KT66	PF3D7_0623000
C6KT67	PF3D7_0623100
C6KT68	PF3D7_0623200
C6KT69	PF3D7_0623300
C6KT70	PF3D7_0623400
C6KT71	PF3D7_0623500
C6KT72	PF3D7_0623600
C6KT73	PF3D7_0623700
C6KT74	PF3D7_0623800
C6KT75	PF3D7_0623900
C6KT76	PF3D7_0624000
C6KT77	PF3D7_0624100
C6KT78	PF3D7_0624200
C6KT79	PF3D7_0624300
C6KT80	PF3D7_0624400
C6KT81	PF3D7_0624500
C6KT83	PF3D7_0624700
C6KT84	PF3D7_0624800
C6KT85	PF3D7_0624900
C6KT86	PF3D7_0625000
C6KT87	PF3D7_0625100
C6KT88	PF3D7_0625200
C6KT89	PF3D7_0625300
C6KT90	PF3D7_0625400
C6KT91	PF3D7_0625500
C6KT92	PF3D7_0625600
C6KT93	PF3D7_0625700
C6KT94	PF3D7_0625800
C6KT95	PF3D7_0625900
C6KT96	PF3D7_0626000
C6KT97	PF3D7_0626100
C6KT98	PF3D7_0626200
C6KT99	PF3D7_0626300
C6KTA0	PF3D7_0626400
C6KTA1	PF3D7_0626500
C6KTA2	PF3D7_0626600
C6KTA3	PF3D7_0626700
C6KTA4	PF3D7_0626800
C6KTA5	PF3D7_0626900
C6KTA6	PF3D7_0627000
C6KTA7	PF3D7_0627100
C6KTA8	PF3D7_0627200
C6KTA9	PF3D7_0627300
C6KTB0	PF3D7_0627400
C6KTB1	PF3D7_0627500
C6KTB2	PF3D7_0627600
C6KTB3	PF3D7_0627700
C6KTB4	PF3D7_0627800
C6KTB5	PF3D7_0627900
C6KTB6	PF3D7_0628000
C6KTB9	PF3D7_0628300
C6KTC0	PF3D7_0628500
C6KTC1	PF3D7_0628600
C6KTC2	PF3D7_0628700
C6KTC3	PF3D7_0628800
C6KTC4	PF3D7_0628900
C6KTC5	PF3D7_0629000
C6KTC6	PF3D7_0629100
C6KTC7	PF3D7_0629200
C6KTC8	PF3D7_0629300
C6KTC9	PF3D7_0629400
C6KTD0	PF3D7_0629500
C6KTD1	PF3D7_0629600
C6KTD3	PF3D7_0629800
C6KTD4	PF3D7_0629900
C6KTD5	PF3D7_0630000
C6KTD6	PF3D7_0630100
C6KTD7	PF3D7_0630200
C6KTD9	PF3D7_0630400
C6KTE0	PF3D7_0630500
C6KTE1	PF3D7_0630600
C6KTE2	PF3D7_0630700
C6KTE3	PF3D7_0630800
C6KTE4	PF3D7_0630900
C6KTE5	PF3D7_0631000
C6KTE6	PF3D7_0631100
C6KTE8	PF3D7_0631400
C6KTE9	PF3D7_0631500
C6KTF0	PF3D7_0631800
C6KTF1	PF3D7_0631900
C6KTF2	PF3D7_0632000
C6KTF3	PF3D7_0632100
C6KTF4	PF3D7_0632200
C6KTF5	PF3D7_0632300
C6KTF6	PF3D7_0632400
C6KTF8	PF3D7_0632700
C6KTF9	PF3D7_0632800
C6S3A7	PF3D7_0202800
C6S3A8	PF3D7_0203200
C6S3A9	PF3D7_0204400
C6S3B0	PF3D7_0205100
C6S3B1	PF3D7_0205800
C6S3B2	PF3D7_0206900
C6S3B4	PF3D7_0209400
C6S3B5	PF3D7_0210400
C6S3B6	PF3D7_0213300
C6S3B7	PF3D7_0216100
C6S3B8	PF3D7_0218200
C6S3C0	PF3D7_1003100
C6S3C1	PF3D7_1005200
C6S3C2	PF3D7_1005600
C6S3C4	PF3D7_1007100
C6S3C5	PF3D7_1007500
C6S3C6	PF3D7_1015700
C6S3C7	PF3D7_1016600
C6S3C8	PF3D7_1017300
C6S3C9	PF3D7_1018200
C6S3D0	PF3D7_1018300
C6S3D1	PF3D7_1018500
C6S3D2	PF3D7_1020100
C6S3D3	PF3D7_1022100
C6S3D4	PF3D7_1025200
C6S3D5	PF3D7_1025800
C6S3D6	PF3D7_1026500
C6S3D7	PF3D7_1026900
C6S3D8	PF3D7_1027600
C6S3D9	PF3D7_1031900
C6S3E0	PF3D7_1032200
C6S3E1	PF3D7_1032800
C6S3E2	PF3D7_1034100
C6S3E3	PF3D7_1037900
C6S3E4	PF3D7_1038200
C6S3E6	PF3D7_1108300
C6S3E7	PF3D7_1109200
C6S3E8	PF3D7_1110000
C6S3E9	PF3D7_1110800
C6S3F0	PF3D7_1111500
C6S3F1	PF3D7_1115100
C6S3F2	PF3D7_1116100
C6S3F6	PF3D7_1135700
C6S3F9	PF3D7_1137800
C6S3G0	PF3D7_1138300
C6S3G2	PF3D7_1143000
C6S3G4	PF3D7_1144300
C6S3G5	PF3D7_1145300
C6S3G6	PF3D7_1146900
C6S3G7	PF3D7_1147100
C6S3G8	PF3D7_1147400
C6S3G9	PF3D7_1125600
C6S3H1	PF3D7_1402900
C6S3H2	PF3D7_1403100
C6S3H3	PF3D7_1403200
C6S3H4	PF3D7_1403500
C6S3H5	PF3D7_1413300
C6S3H6	PF3D7_1416700
C6S3H7	PF3D7_1417900
C6S3H8	PF3D7_1418900
C6S3H9	PF3D7_1422000
C6S3I0	PF3D7_1422300
C6S3I1	PF3D7_1426300
C6S3I2	PF3D7_1426400
C6S3I3	PF3D7_1427700
C6S3I4	PF3D7_1433000
C6S3I5	PF3D7_1436400
C6S3I6	PF3D7_1442100
C6S3I7	PF3D7_1444600
C6S3I8	PF3D7_1447400
C6S3I9	PF3D7_1447600
C6S3J0	PF3D7_1448900
C6S3J1	PF3D7_1449200
C6S3J2	PF3D7_1450200
C6S3J3	PF3D7_1452900
C6S3J4	PF3D7_1453300
C6S3J5	PF3D7_1455900
C6S3J6	PF3D7_1460300
C6S3J7	PF3D7_1461500
C6S3J8	PF3D7_1461700
C6S3J9	PF3D7_1463600
C6S3K0	PF3D7_1464800
C6S3K1	PF3D7_1466500
C6S3K2	PF3D7_1470000
C6S3K4	PF3D7_1214300
C6S3K5	PF3D7_1212600
C6S3K6	PF3D7_1215500
C6S3K7	PF3D7_1219800
C6S3K8	PF3D7_1229700
C6S3K9	PF3D7_1231700
C6S3L2	PF3D7_1243200
K7NTP5	PF3D7_0831700
O00806	PF3D7_0309600
O15770	PF3D7_1419800
O77306	PF3D7_0302100
O77308	PF3D7_0302600
O77309	PF3D7_0302200
O77310	PF3D7_0302500
O77312	PF3D7_0302900
O77313	PF3D7_0303000
O77314	PF3D7_0303100
O77315	PF3D7_0303300
O77316	PF3D7_0302800
O77317	PF3D7_0303200
O77318	PF3D7_0307800
O77321	PF3D7_0308000
O77322	PF3D7_0308100
O77323	PF3D7_0308200
O77324	PF3D7_0308300
O77325	PF3D7_0308600
O77326	PF3D7_0308700
O77327	PF3D7_0308900
O77328	PF3D7_0309200
O77329	PF3D7_0309300
O77330	PF3D7_0309500
O77331	PF3D7_0309700
O77332	PF3D7_0309900
O77334	PF3D7_0309000
O77334	Pf7G8-2_000078400
O77334	Pf7G8_030014800
O77334	PfCD01_030014400
O77334	PfDd2_030014000
O77334	PfGA01_030015600
O77334	PfGB4_030014600
O77334	PfGN01_030014600
O77334	PfHB3_030012800
O77334	PfIT_030013800
O77334	PfKE01_030013400
O77334	PfKH01_030013900
O77334	PfKH02_030014500
O77334	PfML01_030014000
O77334	PfNF135_030014000
O77334	PfNF166_030012300
O77334	PfNF54_030014000
O77334	PfSD01_030014100
O77334	PfSN01_030014700
O77334	PfTG01_030015400
O77335	PF3D7_0309800
O77337	PF3D7_0313600
O77338	PF3D7_0313500
O77339	PF3D7_0313400
O77340	PF3D7_0313200
O77341	PF3D7_0313100
O77342	PF3D7_0312900
O77343	PF3D7_0312500
O77344	PF3D7_0312400
O77345	PF3D7_0312300
O77346	PF3D7_0312200
O77347	PF3D7_0312100
O77348	PF3D7_0311900
O77349	PF3D7_0311800
O77350	PF3D7_0311700
O77351	PF3D7_0311600
O77353	PF3D7_0311300
O77354	PF3D7_0311200
O77355	PF3D7_0311100
O77356	PF3D7_0311000
O77357	PF3D7_0310900
O77358	PF3D7_0310700
O77359	PF3D7_0310800
O77360	PF3D7_0310500
O77361	PF3D7_0310400
O77363	PF3D7_0313000
O77364	PF3D7_0312800
O77365	PF3D7_0311400
O77366	PF3D7_0319200
O77367	PF3D7_0319100
O77368	PF3D7_0319000
O77369	PF3D7_0318900
O77370	PF3D7_0318800
O77371	PF3D7_0318600
O77373	PF3D7_0318400
O77374	PF3D7_0318300
O77375	PF3D7_0318200
O77376	PF3D7_0318100
O77378	PF3D7_0318000
O77379	PF3D7_0317800
O77381	PF3D7_0317600
O77382	PF3D7_0317500
O77383	PF3D7_0317400
O77385	PF3D7_0317200
O77387	PF3D7_0316900
O77388	PF3D7_0316700
O77389	PF3D7_0316600
O77390	PF3D7_0316500
O77391	PF3D7_0316400
O77392	PF3D7_0316300
O77393	PF3D7_0316200
O77394	PF3D7_0316000
O77395	PF3D7_0316800
O77396	PF3D7_0317000
O77397	PF3D7_0319300
O96108	PF3D7_0200100
O96109	PF3D7_0200200
O96110	PF3D7_0200300
O96111	PF3D7_0200400
O96112	PF3D7_0200500
O96113	PF3D7_0200600
O96114	PF3D7_0200700
O96116	PF3D7_0201000
O96117	PF3D7_0201200
O96118	PF3D7_0201300
O96119	PF3D7_0201400
O96120	PF3D7_0201500
O96121	PF3D7_0201600
O96122	PF3D7_0201700
O96123	PF3D7_0201800
O96124	PF3D7_0201900
O96125	PF3D7_0202100
O96126	PF3D7_0202300
O96127	PF3D7_0202400
O96128	PF3D7_0202500
O96129	PF3D7_0202600
O96130	PF3D7_0202700
O96133	PF3D7_0203000
O96134	PF3D7_0203100
O96136	PF3D7_0203300
O96137	PF3D7_0203600
O96139	PF3D7_0203900
O96140	PF3D7_0204000
O96141	PF3D7_0204300
O96142	PF3D7_0204500
O96143	PF3D7_0204600
O96144	PF3D7_0204800
O96145	PF3D7_0204900
O96146	PF3D7_0205000
O96147	PF3D7_0205200
O96148	PF3D7_0205300
O96149	PF3D7_0205400
O96150	PF3D7_0205500
O96151	PF3D7_0205600
O96152	PF3D7_0205700
O96153	PF3D7_0205900
O96154	PF3D7_0206000
O96155	PF3D7_0206100
O96156	PF3D7_0206200
O96158	PF3D7_0206500
O96159	PF3D7_0206600
O96160	PF3D7_0207100
O96161	PF3D7_0207200
O96163	PF3D7_0207400
O96164	PF3D7_0207700
O96165	PF3D7_0207800
O96166	PF3D7_0207900
O96167	PF3D7_0208000
O96168	PF3D7_0208100
O96169	PF3D7_0208200
O96170	PF3D7_0208300
O96171	PF3D7_0208400
O96173	PF3D7_0208600
O96174	PF3D7_0208800
O96175	PF3D7_0208900
O96176	PF3D7_0209100
O96177	PF3D7_0209200
O96179	PF3D7_0209500
O96181	PF3D7_0209600
O96182	PF3D7_0209700
O96183	PF3D7_0210000
O96184	PF3D7_0210100
O96185	PF3D7_0210200
O96186	PF3D7_0210300
O96187	PF3D7_0210500
O96188	PF3D7_0210600
O96189	PF3D7_0210700
O96190	PF3D7_0210800
O96191	PF3D7_0210900
O96192	PF3D7_0211100
O96193	PF3D7_0211200
O96195	PF3D7_0211500
O96196	PF3D7_0211600
O96197	PF3D7_0211700
O96198	PF3D7_0211800
O96199	PF3D7_0211900
O96200	PF3D7_0212000
O96201	PF3D7_0212100
O96202	PF3D7_0212200
O96203	PF3D7_0212300
O96207	PF3D7_0212600
O96208	PF3D7_0212700
O96209	PF3D7_0212800
O96210	PF3D7_0212900
O96211	PF3D7_0213000
O96212	PF3D7_0213100
O96213	PF3D7_0213200
O96215	PF3D7_0213500
O96217	PF3D7_0213700
O96218	PF3D7_0213800
O96219	PF3D7_0213900
O96220	PF3D7_0214000
O96221	PF3D7_0214100
O96222	PF3D7_0214200
O96223	PF3D7_0214300
O96224	PF3D7_0214400
O96225	PF3D7_0214500
O96226	PF3D7_0214600
O96227	PF3D7_0214700
O96228	PF3D7_0214800
O96229	PF3D7_0214900
O96230	PF3D7_0215000
O96231	PF3D7_0215200
O96232	PF3D7_0215300
O96233	PF3D7_0215400
O96234	PF3D7_0215500
O96235	PF3D7_0215600
O96236	PF3D7_0215700
O96237	PF3D7_0215800
O96238	PF3D7_0215900
O96239	PF3D7_0216000
O96240	PF3D7_0216200
O96243	PF3D7_0216400
O96244	PF3D7_0216500
O96245	PF3D7_0216600
O96246	PF3D7_0216800
O96248	PF3D7_0216900
O96251	PF3D7_0217000
O96252	PF3D7_0217100
O96253	PF3D7_0217200
O96254	PF3D7_0217300
O96256	PF3D7_0217600
O96258	PF3D7_0217800
O96259	PF3D7_0217900
O96260	PF3D7_0218000
O96261	PF3D7_0218100
O96263	PF3D7_0218300
O96264	PF3D7_0218400
O96265	PF3D7_0218500
O96266	PF3D7_0218600
O96267	PF3D7_0218700
O96268	PF3D7_0219100
O96269	PF3D7_0219200
O96270	PF3D7_0219500
O96271	PF3D7_0219600
O96272	PF3D7_0219700
O96273	PF3D7_0219800
O96274	PF3D7_0219900
O96275	PF3D7_0220000
O96276	PF3D7_0220100
O96278	PF3D7_0220600
O96279	PF3D7_0220800
O96283	PF3D7_0221400
O96287	PF3D7_0222100
O96288	PF3D7_0222500
O96289	PF3D7_0222600
O96290	PF3D7_0222700
O96291	PF3D7_0222800
O96292	PF3D7_0223100
O96293	PF3D7_0223200
O96294	PF3D7_0223300
O96295	PF3D7_0223400
O96296	PF3D7_0223500
O96935	PF3D7_1311800
O97224	PF3D7_0303400
O97225	PF3D7_0303500
O97226	PF3D7_0303800
O97227	PF3D7_0303700
O97228	PF3D7_0304000
O97229	PF3D7_0304100
O97230	PF3D7_0304300
O97231	PF3D7_0304400
O97232	PF3D7_0304500
O97233	PF3D7_0304700
O97234	PF3D7_0304800
O97235	PF3D7_0305000
O97238	PF3D7_0305300
O97240	PF3D7_0305600
O97241	PF3D7_0305700
O97242	PF3D7_0305800
O97243	PF3D7_0306100
O97244	PF3D7_0306200
O97245	PF3D7_0306400
O97246	PF3D7_0306500
O97247	PF3D7_0306800
O97248	PF3D7_0306900
O97249	PF3D7_0307100
O97250	PF3D7_0307200
O97251	PF3D7_0307300
O97252	PF3D7_0307400
O97253	PF3D7_0307500
O97254	PF3D7_0307600
O97255	PF3D7_0307700
O97256	PF3D7_0308500
O97257	PF3D7_0313900
O97259	PF3D7_0314400
O97260	PF3D7_0314700
O97261	PF3D7_0314500
O97264	PF3D7_0314900
O97265	PF3D7_0315000
O97266	PF3D7_0315100
O97267	PF3D7_0315200
O97269	PF3D7_0315400
O97270	PF3D7_0315500
O97271	PF3D7_0315600
O97272	PF3D7_0315700
O97273	PF3D7_0315800
O97274	PF3D7_0315900
O97275	PF3D7_0314300
O97276	PF3D7_0315300
O97277	PF3D7_0319400
O97279	PF3D7_0319900
O97280	PF3D7_0319800
O97282	PF3D7_0320300
O97284	PF3D7_0320500
O97285	PF3D7_0320800
O97286	PF3D7_0321000
O97287	PF3D7_0321100
O97288	PF3D7_0321300
O97289	PF3D7_0321500
O97290	PF3D7_0321600
O97291	PF3D7_0321700
O97294	PF3D7_0322200
O97295	PF3D7_0322300
O97297	PF3D7_0322500
O97299	PF3D7_0323100
O97300	PF3D7_0323200
O97301	PF3D7_0323300
O97302	PF3D7_0323400
O97303	PF3D7_0323700
O97304	PF3D7_0323500
O97305	PF3D7_0323600
O97306	PF3D7_0323800
O97307	PF3D7_0324100
O97308	PF3D7_0101100
O97308	PF3D7_0324300
O97309	PF3D7_0324400
O97310	PF3D7_0324500
O97311	PF3D7_0324800
O97312	PF3D7_0324900
O97313	PF3D7_0322900
O97314	PF3D7_0323000
O97318	PF3D7_0319500
O97319	PF3D7_0319600
O97320	PF3D7_0320900
O97321	PF3D7_0321200
O97322	PF3D7_0322600
O97323	PF3D7_0320100
O97324	PF3D7_0300100
O97325	PF3D7_0300200
O97326	PF3D7_0300500
O97327	PF3D7_0300700
O97328	PF3D7_0300800
O97329	PF3D7_0300900
O97330	PF3D7_0301000
O97331	PF3D7_0301500
O97332	PF3D7_0301800
O97333	PF3D7_0301900
O97334	PF3D7_0302000
O97335	PF3D7_0301100
O97336	PF3D7_0301700
O97462	PF3D7_0222000
O97462	PF3D7_0324000
O97462	PF3D7_0601300
O97474	PF3D7_0101200
O97474	PF3D7_0222200
O97474	PF3D7_0324200
O97474	PF3D7_0701500
O97474	PF3D7_1039800
O97474	PF3D7_1101600
P25805	PF3D7_1458000
P25805	Pf7G8-2_000531800
P25805	Pf7G8_140063200
P25805	PfCD01_140063300
P25805	PfDd2_140062400
P25805	PfGA01_140063400
P25805	PfGB4_140064100
P25805	PfGN01_140063300
P25805	PfHB3_140063700
P25805	PfIT_140064400
P25805	PfKE01_140062800
P25805	PfKH01_140063500
P25805	PfKH02_140063700
P25805	PfML01_140063600
