Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
PF3D7_0310000	PF3D7_0310000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:420,417..421,877(+)	50S ribosomal protein L9, apicoplast, putative	GO:0005840	ribosome	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0310100	PF3D7_0310100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:422,379..424,680(+)	calcium-dependent protein kinase 3	N/A	N/A	GO:0005524;GO:0005509;GO:0004672	ATP binding;calcium ion binding;protein kinase activity	GO:0030154;GO:0007275;GO:0006468	cell differentiation;multicellular organism development;protein phosphorylation	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0009931;GO:0005516;GO:0004683	calcium-dependent protein serine/threonine kinase activity;calmodulin binding;calmodulin-dependent protein kinase activity	GO:0035556;GO:0018105;GO:0046777;GO:0006468	intracellular signal transduction;peptidyl-serine phosphorylation;protein autophosphorylation;protein phosphorylation	2.7.11.17 (Calcium/calmodulin-dependent protein kinase)	1.3.1.74 (2-alkenal reductase (NAD(P)(+)));2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.1.1 (Hexokinase);2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.17 (Calci
PF3D7_0310200	PF3D7_0310200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:426,151..441,005(+)	phd finger protein, putative	GO:0016021	integral component of membrane	GO:0046872	metal ion binding	N/A	N/A	GO:0005634	nucleus	N/A	N/A	GO:0009410	response to xenobiotic stimulus	N/A	N/A
PF3D7_0310300	PF3D7_0310300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:441,760..447,410(+)	phosphoglycerate mutase, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0016868;GO:0003729	intramolecular transferase activity, phosphotransferases;mRNA binding	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))
PF3D7_0310400	PF3D7_0310400.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:447,468..451,552(+)	parasite-infected erythrocyte surface protein	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0016757	glycosyltransferase activity	N/A	N/A	GO:0009986;GO:0020002;GO:0005634;GO:0085026	cell surface;host cell plasma membrane;nucleus;tubovesicular membrane network	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0310500	PF3D7_0310500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:451,792..459,726(-)	ATP-dependent RNA helicase DHX57, putative	N/A	N/A	GO:0005524;GO:0003724;GO:0003676	ATP binding;RNA helicase activity;nucleic acid binding	N/A	N/A	GO:0005730;GO:0005634	nucleolus;nucleus	GO:0003723;GO:0004386	RNA binding;helicase activity	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3.6.4.13 (RNA helicase)	3.6.4.13 (RNA helicase)
PF3D7_0310600	PF3D7_0310600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:460,848..462,532(-)	eukaryotic translation initiation factor 3 subunit K, putative	GO:0005737;GO:0016282;GO:0033290;GO:0005852	cytoplasm;eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex	GO:0043022;GO:0003743	ribosome binding;translation initiation factor activity	GO:0001732;GO:0006446	formation of cytoplasmic translation initiation complex;regulation of translational initiation	GO:0005852	eukaryotic translation initiation factor 3 complex	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0310700	PF3D7_0310700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:462,750..464,274(+)	trafficking protein particle complex subunit 4, putative	GO:0005794;GO:0030008;GO:0005783	Golgi apparatus;TRAPP complex;endoplasmic reticulum	N/A	N/A	GO:0016192	vesicle-mediated transport	GO:0020036;GO:0030008	Maurer's cleft;TRAPP complex	N/A	N/A	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	N/A	N/A
PF3D7_0310800	PF3D7_0310800.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:464,662..465,196(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0310900	PF3D7_0310900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:465,745..468,557(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0311000	PF3D7_0311000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:469,287..470,118(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0311100	PF3D7_0311100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:470,535..473,737(-)	pre-mRNA splicing factor, putative	N/A	N/A	N/A	N/A	GO:0006397	mRNA processing	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0311200	PF3D7_0311200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:473,860..479,395(+)	valine--tRNA ligase, putative	N/A	N/A	GO:0005524;GO:0004812;GO:0000166;GO:0004832	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity	GO:0006418;GO:0006438	tRNA aminoacylation for protein translation;valyl-tRNA aminoacylation	GO:0020011;GO:0005829	apicoplast;cytosol	GO:0004832	valine-tRNA ligase activity	GO:0006418;GO:0006438	tRNA aminoacylation for protein translation;valyl-tRNA aminoacylation	6.1.1.9 (Valine--tRNA ligase)	6.1.1.9 (Valine--tRNA ligase)
PF3D7_0311300	PF3D7_0311300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:479,460..485,830(-)	phosphatidylinositol 3- and 4-kinase, putative	N/A	N/A	GO:0004430;GO:0016303	1-phosphatidylinositol 4-kinase activity;1-phosphatidylinositol-3-kinase activity	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	2.7.1.137 (Phosphatidylinositol 3-kinase);2.7.1.67 (1-phosphatidylinositol 4-kinase)	2.7.1.137 (Phosphatidylinositol 3-kinase);2.7.1.67 (1-phosphatidylinositol 4-kinase)
PF3D7_0311400	PF3D7_0311400.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:487,853..496,510(+)	kinase-related protein PKRP, putative	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	GO:0005813;GO:0005737;GO:1903561;GO:0005634;GO:0000922	centrosome;cytoplasm;extracellular vesicle;nucleus;spindle pole	GO:0004674	protein serine/threonine kinase activity	GO:0000278;GO:0006468;GO:0032465	mitotic cell cycle;protein phosphorylation;regulation of cytokinesis	2.7.11.1 (Non-specific serine/threonine protein kinase)	2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0311500	PF3D7_0311500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:496,787..498,268(-)	conserved protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0311600	PF3D7_0311600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:499,117..502,677(+)	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1, putative	GO:0016021	integral component of membrane	GO:0016757	glycosyltransferase activity	GO:0006486	protein glycosylation	GO:0020011;GO:0008250	apicoplast;oligosaccharyltransferase complex	N/A	N/A	GO:0018279;GO:0006486	protein N-linked glycosylation via asparagine;protein glycosylation	2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)	2.4.1.119 (Transferred entry: 2.4.99.18);2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)
PF3D7_0311700	PF3D7_0311700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:502,698..505,935(+)	plasmepsin VI	GO:0016021	integral component of membrane	GO:0004190	aspartic-type endopeptidase activity	GO:0006508	proteolysis	GO:0044310	osmiophilic body	GO:0004190	aspartic-type endopeptidase activity	GO:0006508	proteolysis	3.4.23.- (Aspartic endopeptidases.)	3.4.23.- (Aspartic endopeptidases.);3.4.23.1 (Pepsin A);3.4.23.20 (Penicillopepsin);3.4.23.24 (Candidapepsin);3.4.23.3 (Gastricsin);3.4.23.34 (Cathepsin E)
PF3D7_0311800	PF3D7_0311800.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:506,275..509,040(+)	ATP synthase F0 subunit d-like protein, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739;GO:0005634	mitochondrion;nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0311900	PF3D7_0311900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:509,155..512,024(-)	heptatricopeptide repeat-containing protein, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0312000	PF3D7_0312000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:511,923..513,009(+)	HTH domain-containing protein, putative	N/A	N/A	GO:0003677	DNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0312100	PF3D7_0312100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:513,105..516,915(+)	E3 ubiquitin-protein ligase	GO:0016021	integral component of membrane	GO:0016746	acyltransferase activity	N/A	N/A	GO:0020011	apicoplast	GO:0004842	ubiquitin-protein transferase activity	N/A	N/A	2.3.2.27 (RING-type E3 ubiquitin transferase);6.2.1.45 (E1 ubiquitin-activating enzyme);6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	2.3.2.27 (RING-type E3 ubiquitin transferase);6.2.1.45 (E1 ubiquitin-activating enzyme);6.3.2.- (Acid--amino-acid ligases (peptide synthases).);6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
PF3D7_0312200	PF3D7_0312200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:516,480..520,555(-)	tetratricopeptide repeat protein, putative	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0072380;GO:0005829;GO:0016020	TRC complex;cytosol;membrane	GO:0060090	molecular adaptor activity	GO:1903646;GO:0006620;GO:0030433	positive regulation of chaperone-mediated protein folding;posttranslational protein targeting to endoplasmic reticulum membrane;ubiquitin-dependent ERAD pathway	N/A	N/A
PF3D7_0312300	PF3D7_0312300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:521,939..523,113(+)	26S proteasome regulatory subunit RPN12, putative	GO:0005838	proteasome regulatory particle	GO:0016787	hydrolase activity	GO:0006508	proteolysis	GO:0005829;GO:0005622;GO:0005634;GO:0005838;GO:0008541	cytosol;intracellular;nucleus;proteasome regulatory particle;proteasome regulatory particle, lid subcomplex	N/A	N/A	GO:0043161;GO:0006511	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	3.4.25.1 (Proteasome endopeptidase complex)	3.4.25.1 (Proteasome endopeptidase complex)
PF3D7_0312400	PF3D7_0312400.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:523,023..528,087(-)	glycogen synthase kinase-3 beta	N/A	N/A	GO:0005524;GO:0004672;GO:0050321	ATP binding;protein kinase activity;tau-protein kinase activity	GO:0006468	protein phosphorylation	GO:0020036;GO:0005737;GO:0034399	Maurer's cleft;cytoplasm;nuclear periphery	GO:0004674	protein serine/threonine kinase activity	GO:0048469;GO:0044409;GO:0009410;GO:0007165	cell maturation;entry into host;response to xenobiotic stimulus;signal transduction	2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.26 ([Tau protein] kinase)	2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.26 ([Tau protein] kinase)
PF3D7_0312500	PF3D7_0312500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:528,316..531,025(+)	multidrug-resistant modulator MFR3	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport	GO:0005739;GO:0005886	mitochondrion;plasma membrane	N/A	N/A	GO:0009410	response to xenobiotic stimulus	N/A	N/A
PF3D7_0312600	PF3D7_0312600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:531,213..531,289(+)	tRNA Valine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0312700	PF3D7_0312700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:531,898..531,973(-)	tRNA Isoleucine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0312800	PF3D7_0312800.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:533,606..535,480(+)	60S ribosomal protein L26, putative	GO:0015934	large ribosomal subunit	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	GO:0006412	translation	GO:0022625;GO:0005634	cytosolic large ribosomal subunit;nucleus	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	GO:0002181;GO:0042273;GO:0006412	cytoplasmic translation;ribosomal large subunit biogenesis;translation	N/A	N/A
PF3D7_0312900	PF3D7_0312900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:535,938..537,274(+)	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313000	PF3D7_0313000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:537,355..538,827(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313100	PF3D7_0313100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:539,192..543,133(+)	ubiquitin-protein ligase, putative	N/A	N/A	GO:0016874;GO:0005515	ligase activity;protein binding	GO:0016567	protein ubiquitination	GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	N/A	N/A	GO:0030433	ubiquitin-dependent ERAD pathway	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
PF3D7_0313200	PF3D7_0313200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:543,010..543,942(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020011;GO:0009986	apicoplast;cell surface	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313300	PF3D7_0313300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:544,055..545,227(-)	YGGT family protein, putative	GO:0016020	membrane	N/A	N/A	N/A	N/A	GO:0020011;GO:0016020	apicoplast;membrane	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313400	PF3D7_0313400.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:545,589..548,500(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313500	PF3D7_0313500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:548,576..551,854(+)	Ras-like G protein	N/A	N/A	GO:0005525	GTP binding	N/A	N/A	GO:0020036;GO:0005829	Maurer's cleft;cytosol	GO:0003924	GTPase activity	N/A	N/A	N/A	N/A
PF3D7_0313600	PF3D7_0313600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:551,348..554,770(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313700	PF3D7_0313700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:555,035..558,825(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313800	PF3D7_0313800.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:559,025..563,280(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0313900	PF3D7_0313900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:562,366..565,656(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0314000	PF3D7_0314000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:567,002..569,084(+)	HSP20-like chaperone, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0005829;GO:0005634	cytoplasm;cytosol;nucleus	GO:0051879;GO:0051087	Hsp90 protein binding;chaperone binding	GO:0051131;GO:0032780;GO:0006457	chaperone-mediated protein complex assembly;negative regulation of ATP-dependent activity;protein folding	N/A	N/A
PF3D7_0314100	PF3D7_0314100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:568,936..571,598(-)	vesicle transport v-SNARE protein, putative	GO:0005829;GO:0016021;GO:0016020	cytosol;integral component of membrane;membrane	N/A	N/A	GO:0006886;GO:0016192	intracellular protein transport;vesicle-mediated transport	GO:0012507;GO:0005794;GO:0031201;GO:0005789;GO:0031902	ER to Golgi transport vesicle membrane;Golgi apparatus;SNARE complex;endoplasmic reticulum membrane;late endosome membrane	GO:0005484;GO:0000149	SNAP receptor activity;SNARE binding	GO:0006896;GO:0006888;GO:0006891;GO:0006623;GO:0042147;GO:0048280	Golgi to vacuole transport;endoplasmic reticulum to Golgi vesicle-mediated transport;intra-Golgi vesicle-mediated transport;protein targeting to vacuole;retrograde transport, endosome to Golgi;vesicle fusion with Golgi apparatus	N/A	N/A
PF3D7_0314100	PF3D7_0314100.2	Plasmodium falciparum 3D7	Pf3D7_03_v3:568,936..571,598(-)	vesicle transport v-SNARE protein, putative	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0314200	PF3D7_0314200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:572,134..576,853(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0314300	PF3D7_0314300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:576,881..578,724(-)	DER1-like protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000839;GO:0020011;GO:0030176;GO:0016021;GO:0016020	Hrd1p ubiquitin ligase ERAD-L complex;apicoplast;integral component of endoplasmic reticulum membrane;integral component of membrane;membrane	GO:0016887;GO:0051787;GO:1990381	ATP hydrolysis activity;misfolded protein binding;ubiquitin-specific protease binding	GO:0030968;GO:0010564;GO:0030433	endoplasmic reticulum unfolded protein response;regulation of cell cycle process;ubiquitin-dependent ERAD pathway	N/A	N/A
PF3D7_0314400	PF3D7_0314400.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:578,813..581,393(-)	serine/threonine protein phosphatase 6, putative	N/A	N/A	GO:0016787	hydrolase activity	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0004722	protein serine/threonine phosphatase activity	GO:0006470	protein dephosphorylation	3.1.3.16 (Protein-serine/threonine phosphatase)	3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_0314500	PF3D7_0314500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:582,177..586,023(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0314600	PF3D7_0314600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:586,077..588,321(+)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0314700	PF3D7_0314700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:588,362..594,166(-)	RING finger protein RNF1	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0042393;GO:0061630	histone binding;ubiquitin protein ligase activity	GO:0006511	ubiquitin-dependent protein catabolic process	N/A	N/A
PF3D7_0314800	PF3D7_0314800.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:604,442..608,381(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0314900	PF3D7_0314900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:608,592..610,992(+)	conserved Plasmodium membrane protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0315000	PF3D7_0315000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:610,994..612,107(+)	zinc finger protein, putative	N/A	N/A	GO:0008270	zinc ion binding	N/A	N/A	N/A	N/A	GO:0008270	zinc ion binding	N/A	N/A	N/A	N/A
PF3D7_0315100	PF3D7_0315100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:612,333..614,159(-)	eukaryotic translation initiation factor 4E	N/A	N/A	GO:0003723;GO:0003743	RNA binding;translation initiation factor activity	GO:0006413	translational initiation	GO:0043186;GO:0016281;GO:0005634	P granule;eukaryotic translation initiation factor 4F complex;nucleus	GO:0000340;GO:0000339;GO:0098808;GO:0005515;GO:0003743	RNA 7-methylguanosine cap binding;RNA cap binding;mRNA cap binding;protein binding;translation initiation factor activity	GO:0006413	translational initiation	N/A	3.4.21.59 (Tryptase)
PF3D7_0315200	PF3D7_0315200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:616,472..622,816(+)	circumsporozoite- and TRAP-related protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020009	microneme	GO:0034235;GO:0043395	GPI anchor binding;heparan sulfate proteoglycan binding	GO:0002312;GO:0098609;GO:0044409	B cell activation involved in immune response;cell-cell adhesion;entry into host	N/A	N/A
PF3D7_0315300	PF3D7_0315300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:623,446..630,360(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0315400	PF3D7_0315400.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:630,342..631,821(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0315500	PF3D7_0315500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:632,614..634,164(-)	ribosomal protein L47, mitochondrial, putative	GO:0005761	mitochondrial ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	GO:0005762;GO:0005739	mitochondrial large ribosomal subunit;mitochondrion	GO:0003735	structural constituent of ribosome	GO:0032543	mitochondrial translation	N/A	N/A
PF3D7_0315600	PF3D7_0315600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:635,060..638,072(+)	male development protein MD3	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	GO:0005737;GO:0005634;GO:0032991	cytoplasm;nucleus;protein-containing complex	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0315700	PF3D7_0315700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:638,283..641,306(+)	STONES protein, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0016020	membrane	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0315800	PF3D7_0315800.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:641,255..643,023(-)	zinc finger protein, putative	N/A	N/A	GO:0061630	ubiquitin protein ligase activity	GO:0016567	protein ubiquitination	GO:0005829;GO:0005634	cytosol;nucleus	GO:0061630	ubiquitin protein ligase activity	GO:0016567;GO:0030155	protein ubiquitination;regulation of cell adhesion	N/A	N/A
PF3D7_0315900	PF3D7_0315900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:644,186..645,268(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0316000	PF3D7_0316000.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:645,489..647,748(-)	microneme associated antigen	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0009986;GO:0020009;GO:0005739	cell surface;microneme;mitochondrion	GO:0046812	host cell surface binding	GO:0098609;GO:0044409	cell-cell adhesion;entry into host	N/A	N/A
PF3D7_0316100	PF3D7_0316100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:647,361..649,671(+)	ribosomal protein L27, mitochondrial, putative	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	GO:0005762;GO:0005739	mitochondrial large ribosomal subunit;mitochondrion	GO:0003735	structural constituent of ribosome	N/A	N/A	N/A	N/A
PF3D7_0316200	PF3D7_0316200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:649,743..657,416(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0316300	PF3D7_0316300.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:658,272..661,980(+)	inorganic pyrophosphatase, putative, inorganic pyrophosphatase	GO:0005737	cytoplasm	GO:0004427;GO:0000287	inorganic diphosphatase activity;magnesium ion binding	GO:0006796	phosphate-containing compound metabolic process	GO:0020011;GO:0005829	apicoplast;cytosol	GO:0004427;GO:0000287	inorganic diphosphatase activity;magnesium ion binding	GO:0071344;GO:0006796	diphosphate metabolic process;phosphate-containing compound metabolic process	3.6.1.1 (Inorganic diphosphatase)	3.6.1.1 (Inorganic diphosphatase)
PF3D7_0316300	PF3D7_0316300.2	Plasmodium falciparum 3D7	Pf3D7_03_v3:658,272..661,980(+)	inorganic pyrophosphatase, putative, inorganic pyrophosphatase	GO:0005737	cytoplasm	GO:0004427;GO:0000287	inorganic diphosphatase activity;magnesium ion binding	GO:0006796	phosphate-containing compound metabolic process	GO:0005829	cytosol	GO:0004427;GO:0000287;GO:0016462	inorganic diphosphatase activity;magnesium ion binding;pyrophosphatase activity	GO:0006796	phosphate-containing compound metabolic process	3.6.1.1 (Inorganic diphosphatase)	3.6.1.1 (Inorganic diphosphatase)
